Resturant Name,Rating,Address,Review Count,Category
The Driftless Axe,4.5 star rating,300 4th St S,2,Pizza;Axe Throwing;Beer Bar
Polito’s Pizza,3.5 star rating,116 3rd St S,40,Pizza
Tom Sawyer’s Bar & Grill,3.5 star rating,136 Clinton St,27,Bars;Burgers;Mexican
Marco’s Pizza,4.5 star rating,3514 Mormon Coulee Rd,8,Pizza
Manny’s Mexican Cocina,3.5 star rating,301 Hampton Ct,102,Mexican
Rivoli Theatre & Pizzeria,4 star rating,117 4th St N,34,Cinema;Pizza
Arterial,3.5 star rating,1003 16th St S,17,Bars;American (Traditional)
La Crosse Family Restaurant,3.5 star rating,2120 Rose St,69,American (Traditional);Breakfast & Brunch
Angelini’s Ristorante,3 star rating,1427 State Hwy 35,42,Italian;Pizza
Fox Hollow Sports Bar,4.5 star rating,N3287 County Rd OA,11,American (Traditional);Sports Bars
Free Range Exchange,5 star rating,46 Main St,5,Breakfast & Brunch;Sandwiches;Coffee & Tea
Outback Steakhouse,3 star rating,311 Hampton Ct,41,Steakhouses
Alpine Inn,3.5 star rating,W5717 Bliss Rd,21,Bars;Burgers;American (Traditional)
JavaVino,4 star rating,2311 State Rd,36,Wine Bars;Coffee & Tea;Breakfast & Brunch
Great Harvest Bread Company,4 star rating,58 Copeland Ave,9,Bakeries;Sandwiches
Saxon Hall,4.5 star rating,702 Main St,7,Pizza
Kramer’s Bar & Grill,4 star rating,1123 3rd St S,8,Restaurants
Barre Country Diner,4.5 star rating,W4007 Country Rd 0,8,Diners;Breakfast & Brunch;Pizza
Great Wall,2.5 star rating,322 Main St,23,Chinese;Asian Fusion
Blue Moon Restaurant,3.5 star rating,716 2nd Ave N,60,American (Traditional);Breakfast & Brunch
Hunan Chinese Restaurant & Lounge,2.5 star rating,318 4th St S,30,Chinese
The Verse Lounge & Grill,5 star rating,717 Rose St,1,Lounges;American (Traditional)
Fish’s Bar,4 star rating,1452 Caledonia St,5,Dive Bars;Tacos
Castaways on the Island,2 star rating,131 Clinton St,1,Restaurants
Olive Garden Italian Restaurant,3.5 star rating,9413 State Rd 16,50,Italian;Salad;Soup
El Cerrito,4 star rating,306 Sand Lake Rd,15,Mexican
Pettibone Boat Club,2.5 star rating,S Pettibone Dr,35,Burgers;American (Traditional);Sandwiches
Nutbush City Limits,3.5 star rating,3264 George St,34,Bars;Breakfast & Brunch;American (Traditional)
Coney Island Hot Dogs,3.5 star rating,Located in Bridgeview Shopping Center,7,Hot Dogs
Sloopy’s Alma Mater,3 star rating,163 Copeland Ave,9,Chicken Wings;Pizza;Sandwiches
QDOBA Mexican Eats,4 star rating,127 S 3rd St,15,Mexican;Fast Food
Al’s State Road Pizzeria,3.5 star rating,2242 State Rd,11,Pizza
Culina Mariana Cafe,4 star rating,5250 Justin Rd,3,Sandwiches;Desserts;American (Traditional)
China Star,2.5 star rating,4202 Mormon Coulee Rd,30,Chinese
Las Margaritas,3 star rating,115 5th Ave S,4,Mexican;Salad;Beer Bar
Heroes Bar and Grill,4 star rating,101 Sky Harbour Dr,4,Bars;Sandwiches
Midway Deli,4.5 star rating,N5610 County Rd Ot,13,Delis
Pla-Mor Lanes and The Eleventh Frame Diner,5 star rating,807 4th St S,6,Bowling;Pizza;American (Traditional)
China Max,4 star rating,Valley View Mall,6,Chinese
The Ridge,3.5 star rating,W2782 State Rd 33,6,Bars;American (Traditional)
Angry’s Way Out,5 star rating,N5914 County Rd Zz,1,Bars;American (Traditional);Chicken Wings
Super Buffet,2 star rating,206 Copeland Ave,15,Chinese;Buffets
Boot Hill Pub,3.5 star rating,1501 Saint Andrew St,8,Pubs;Burgers;Sandwiches
Quillin’s,5 star rating,24 S Walnut St,1,Grocery;Delis
T-Jo’s Pizza,3.5 star rating,1717 George St,20,Pizza;Sandwiches;Tacos
Dewey’s Side Street Saloon,3 star rating,621 Saint Paul St,2,Bars;American (Traditional);Music Venues
Pappi’s Taqueria y Mas,4 star rating,83 Buol Rd,2,Food Trucks;Mexican
Noodles & Company,1.5 star rating,9417 State Road-16,4,Salad;Soup;Noodles
B.A. Burrito,3 star rating,40 Copeland Ave,38,Tex-Mex;Mexican
Lindy’s Subs & Salads,3.5 star rating,221 Main St,24,Sandwiches;Salad
Fox Hollow Golf Course,4.5 star rating,N3287 County Trunk OA,8,Golf;Burgers;Venues & Event Spaces
Jersey Mike’s Subs,4.5 star rating,1200 County Rd Ph,8,Sandwiches;Fast Food;Delis
Golden China,3.5 star rating,920 W City Hwy 16,7,Chinese
Red Lobster,3 star rating,3333 State Road 16,20,Seafood;American (Traditional)
China Buffet,2.5 star rating,1611 Losey Blvd S,17,Chinese
Union Market,4 star rating,400 7th St N,1,Restaurants
River Rocks Coffee,4 star rating,332 Front St S,5,Coffee & Tea;Breakfast & Brunch;Bagels
Bean Juice,4.5 star rating,1014 19th St S,14,Coffee & Tea;Sandwiches
Subway,4 star rating,1200 La Crosse St,2,Sandwiches
Domino’s Pizza,4.5 star rating,2402 State Rd,4,Pizza;Chicken Wings;Sandwiches
Coney Island,3 star rating,114 4th St S,8,Hot Dogs;Burgers
Marge’s On Rose,3 star rating,833 Rose St,43,Breakfast & Brunch
Features Sports Bar & Grill,3 star rating,1425 State Hwy 16,21,Bowling;Sports Bars;Burgers
Burrachos Fresh Mexican Grill,3.5 star rating,9432 State Rd 16,27,Mexican
Cabin Coffee,4 star rating,401 Jay St,29,Coffee & Tea;Sandwiches
Toppers Pizza,2.5 star rating,325 West Ave N,11,Pizza
Buffalo Wild Wings,2.5 star rating,3132 Market Pl,53,Chicken Wings;American (Traditional);Sports Bars
King Street Kitchen,3.5 star rating,141 S 7th St,10,American (Traditional);Breakfast & Brunch;Venues & Event Spaces
Big Al’s Too,4 star rating,103 10th Ave S,5,Pizza
CreekSide Grill and Pub,2 star rating,W5450 Keil Coulee Rd,9,Pubs;American (Traditional);Italian
Lindy’s Subs & Salads,4 star rating,225 Sand Lake Rd,15,Salad;Fruits & Veggies
The Pizza Oven,4.5 star rating,920 W Hwy 16,5,Pizza
Papa Murphy’s,5 star rating,1820 Jackson Street,1,Pizza
Kobe Japan,N/A,3800 State Road 16,N/A,Chinese;Food Delivery Services;Japanese
Arrowhead Tap House,3 star rating,Located in La Crosse Regional Airport - LSE,2,American (Traditional)
Culver’s,3.5 star rating,4101 Mormon Coulee Rd,11,Burgers;Ice Cream & Frozen Yogurt;Fast Food
Marco’s Pizza,3.5 star rating,988 12th Ave S,9,Pizza
Taco Bell,3 star rating,315 West Avenue North,10,Mexican;Fast Food
Rocky Rococo Pan Style Pizza,2.5 star rating,40 Copeland Ave,9,Pizza;Italian
Mary Cody’s Restaurant and Maggie’s Lounge,3.5 star rating,205 Main St,19,American (New);Breakfast & Brunch;Coffee & Tea
Jimmy John’s,3 star rating,312 Pearl St,18,Sandwiches;Delis;Fast Food
Westview Inn,4 star rating,174 Leonard St S,10,American (New)
Applebee’s Grill + Bar,2 star rating,9364 Highway 16,34,Sports Bars;Burgers;American (Traditional)
HuHot Mongolian Grill,N/A,3800 WI-16,N/A,Restaurants
T Jo’s Pizza & Sandwich Shop,4.5 star rating,105 State St,6,Pizza
Fazoli’s,3.5 star rating,9370 Hwy 16,16,Italian
China Inn,2.5 star rating,9348 State Rd 16,16,Chinese
Copper Penny,3.5 star rating,200 Main St,2,Restaurants
American Legion Post 336,5 star rating,731 Sand Lake Rd,2,Venues & Event Spaces;American (Traditional);Sports Bars
Mexican Tamales Restaurant,2.5 star rating,306 Sand Lake Rd,12,Mexican
Culver’s,4.5 star rating,835 Oak Ave S,3,Burgers;Ice Cream & Frozen Yogurt;Fast Food
Super Buffet Chinese Restaurant,1 star rating,9348 Highway 16,3,Chinese
Pizza Corral,4 star rating,1505 S Holmen Dr,26,Pizza
Hunter’s Last Chance,4.5 star rating,150 S Leonard St,4,Sports Bars;Burgers;Pizza
McDonald’s,4.5 star rating,2437 W George St,3,Coffee & Tea;Burgers;Fast Food
Taco John’s,3 star rating,602 Monitor St,5,Fast Food;Mexican
